"Star Trek Anthology" (2015)				2015-????
"Star Trek: Federation One" (2008)			2008-????
"Star Trek: Federation One" (2008) {Institutions (#1.2)}	????
"Star Trek: Federation One" (2008) {Unity (#1.1)}	????
"Star Trek: GENESIS" (2012)				2012-????
"Star Trek: GENESIS" (2012) {Alone (#1.1)}		2012
"Star Trek: GENESIS" (2012) {Slave World (#1.2)}	2012
"Star Trek: Henglaar, M.D." (2009)			2009-????
"Star Trek: Henglaar, M.D." (2009) {Best Served Cold (#1.2)}	2010
"Star Trek: Henglaar, M.D." (2009) {Final Exam (#1.7)}	2013
"Star Trek: Henglaar, M.D." (2009) {Good with Words (#1.4)}	2010
"Star Trek: Henglaar, M.D." (2009) {Graduation, Part One (#2.1)}	2013
"Star Trek: Henglaar, M.D." (2009) {Graduation, Part Two (#2.2)}	2013
"Star Trek: Henglaar, M.D." (2009) {Internal Affairs (#2.3)}	2015
"Star Trek: Henglaar, M.D." (2009) {Profit Without Honor (#1.5)}	2011
"Star Trek: Henglaar, M.D." (2009) {Recalled to Life (#1.1)}	2009
"Star Trek: Henglaar, M.D." (2009) {Risk Factors (#1.3)}	2010
"Star Trek: Henglaar, M.D." (2009) {Vector of Infection (#1.6)}	2011
"Star Trek: Hidden Frontier" (2000)			2000-????
"Star Trek: Hidden Frontier" (2000) {Addictions (#4.3)}	2003
"Star Trek: Hidden Frontier" (2000) {Ashes (#3.7)}	2003
"Star Trek: Hidden Frontier" (2000) {Beachhead (#6.4)}	????
"Star Trek: Hidden Frontier" (2000) {Bound (#7.2)}	????
"Star Trek: Hidden Frontier" (2000) {Countermeasures (#6.1)}	????
"Star Trek: Hidden Frontier" (2000) {Coward's Death (#2.8)}	2001
"Star Trek: Hidden Frontier" (2000) {Crossroads (#4.5)}	2003
"Star Trek: Hidden Frontier" (2000) {Dancing in the Dark (#6.2)}	????
"Star Trek: Hidden Frontier" (2000) {Darkest Night (#5.3)}	2004
"Star Trek: Hidden Frontier" (2000) {Echoes (#1.6)}	2000
"Star Trek: Hidden Frontier" (2000) {Encke (#2.5)}	2001
"Star Trek: Hidden Frontier" (2000) {Enemy Unknown, Part 1 (#1.1)}	2000
"Star Trek: Hidden Frontier" (2000) {Enemy Unknown, Part 2 (#1.2)}	2000
"Star Trek: Hidden Frontier" (2000) {Enemy Unknown, Part 3 (#1.3)}	2000
"Star Trek: Hidden Frontier" (2000) {Entanglement, Part 1 (#4.6)}	2004
"Star Trek: Hidden Frontier" (2000) {Entanglement, Part 2 (#5.1)}	2004
"Star Trek: Hidden Frontier" (2000) {Epitaph (#5.5)}	????
"Star Trek: Hidden Frontier" (2000) {Fire in the Heart (#2.7)}	2001
"Star Trek: Hidden Frontier" (2000) {Grave Matters (#4.4)}	2003
